2026-01-28 12:22:32.666785 INFO  [PATH] event start
2026-01-28 12:22:32.667103 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:23:05.668579 INFO  [PATH] event start
2026-01-28 12:23:05.668927 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:23:05.674056 INFO  [PATH] event start
2026-01-28 12:23:05.674330 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:23:38.670422 INFO  [PATH] event start
2026-01-28 12:23:38.670765 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:24:08.672045 INFO  [PATH] event start
2026-01-28 12:24:08.672361 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:24:11.672256 INFO  [PATH] event start
2026-01-28 12:24:11.672550 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:24:44.674110 INFO  [PATH] event start
2026-01-28 12:24:44.674422 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:25:11.675600 INFO  [PATH] event start
2026-01-28 12:25:11.675954 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:25:17.675983 INFO  [PATH] event start
2026-01-28 12:25:17.676294 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:25:50.677801 INFO  [PATH] event start
2026-01-28 12:25:50.678118 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:26:14.679115 INFO  [PATH] event start
2026-01-28 12:26:14.679424 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:26:23.679639 INFO  [PATH] event start
2026-01-28 12:26:23.679979 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:26:56.681456 INFO  [PATH] event start
2026-01-28 12:26:56.681798 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:27:17.682601 INFO  [PATH] event start
2026-01-28 12:27:17.682970 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:27:29.683309 INFO  [PATH] event start
2026-01-28 12:27:29.683621 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:28:02.685158 INFO  [PATH] event start
2026-01-28 12:28:02.685469 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:28:20.686124 INFO  [PATH] event start
2026-01-28 12:28:20.686432 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:28:35.686960 INFO  [PATH] event start
2026-01-28 12:28:35.687269 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:29:08.688781 INFO  [PATH] event start
2026-01-28 12:29:08.689094 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:29:23.689590 INFO  [PATH] event start
2026-01-28 12:29:23.689937 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:29:41.690618 INFO  [PATH] event start
2026-01-28 12:29:41.690959 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:30:14.692411 INFO  [PATH] event start
2026-01-28 12:30:14.692771 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:30:26.693091 INFO  [PATH] event start
2026-01-28 12:30:26.693403 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:30:47.694270 INFO  [PATH] event start
2026-01-28 12:30:47.694581 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:31:20.696050 INFO  [PATH] event start
2026-01-28 12:31:20.696359 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:31:29.696548 INFO  [PATH] event start
2026-01-28 12:31:29.696889 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:31:53.697864 INFO  [PATH] event start
2026-01-28 12:31:53.698170 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:32:26.699683 INFO  [PATH] event start
2026-01-28 12:32:26.700001 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:32:32.700003 INFO  [PATH] event start
2026-01-28 12:32:32.700313 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:32:59.701471 INFO  [PATH] event start
2026-01-28 12:32:59.701823 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:33:32.703330 INFO  [PATH] event start
2026-01-28 12:33:32.703687 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:33:35.703483 INFO  [PATH] event start
2026-01-28 12:33:35.703819 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:34:05.705135 INFO  [PATH] event start
2026-01-28 12:34:05.705443 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:34:38.706946 INFO  [PATH] event start
2026-01-28 12:34:38.707261 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:34:38.712530 INFO  [PATH] event start
2026-01-28 12:34:38.712831 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:35:11.708795 INFO  [PATH] event start
2026-01-28 12:35:11.709113 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:35:41.710451 INFO  [PATH] event start
2026-01-28 12:35:41.710795 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:35:44.710676 INFO  [PATH] event start
2026-01-28 12:35:44.710985 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:36:17.712457 INFO  [PATH] event start
2026-01-28 12:36:17.712809 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:36:44.713954 INFO  [PATH] event start
2026-01-28 12:36:44.714257 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:36:50.714328 INFO  [PATH] event start
2026-01-28 12:36:50.714638 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:37:23.716147 INFO  [PATH] event start
2026-01-28 12:37:23.716455 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:37:40.790702 INFO  [PATH] event start
2026-01-28 12:37:40.791042 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:38:11.718788 INFO  [PATH] event start
2026-01-28 12:38:11.719099 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:38:12.327006 INFO  [PATH] event start
2026-01-28 12:38:12.327282 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:38:44.720527 INFO  [PATH] event start
2026-01-28 12:38:44.720876 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:39:14.722125 INFO  [PATH] event start
2026-01-28 12:39:14.722433 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:39:17.722331 INFO  [PATH] event start
2026-01-28 12:39:17.722616 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:39:50.724057 INFO  [PATH] event start
2026-01-28 12:39:50.724368 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:40:17.725507 INFO  [PATH] event start
2026-01-28 12:40:17.725866 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:40:23.725863 INFO  [PATH] event start
2026-01-28 12:40:23.726178 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:40:56.727621 INFO  [PATH] event start
2026-01-28 12:40:56.727960 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:41:20.728945 INFO  [PATH] event start
2026-01-28 12:41:20.729255 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:41:29.729513 INFO  [PATH] event start
2026-01-28 12:41:29.729905 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:42:02.731290 INFO  [PATH] event start
2026-01-28 12:42:02.731602 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:42:23.732398 INFO  [PATH] event start
2026-01-28 12:42:23.732744 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:42:35.733088 INFO  [PATH] event start
2026-01-28 12:42:35.733396 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:43:08.734897 INFO  [PATH] event start
2026-01-28 12:43:08.735204 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:43:26.735900 INFO  [PATH] event start
2026-01-28 12:43:26.736215 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:43:41.736756 INFO  [PATH] event start
2026-01-28 12:43:41.737070 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:44:14.738466 INFO  [PATH] event start
2026-01-28 12:44:14.738818 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:44:29.739280 INFO  [PATH] event start
2026-01-28 12:44:29.739591 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:44:47.740277 INFO  [PATH] event start
2026-01-28 12:44:47.740581 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:45:20.741990 INFO  [PATH] event start
2026-01-28 12:45:20.742302 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:45:32.742631 INFO  [PATH] event start
2026-01-28 12:45:32.742972 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:45:53.743825 INFO  [PATH] event start
2026-01-28 12:45:53.744132 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:46:24.387828 INFO  [PATH] event start
2026-01-28 12:46:24.388167 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:46:56.747093 INFO  [PATH] event start
2026-01-28 12:46:56.747409 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:47:26.748688 INFO  [PATH] event start
2026-01-28 12:47:26.749002 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:47:29.748866 INFO  [PATH] event start
2026-01-28 12:47:29.749160 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:48:02.750638 INFO  [PATH] event start
2026-01-28 12:48:02.750978 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:48:12.709853 INFO  [PATH] event start
2026-01-28 12:48:12.710192 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:48:44.752842 INFO  [PATH] event start
2026-01-28 12:48:44.753184 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:48:46.648165 INFO  [PATH] event start
2026-01-28 12:48:46.648444 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:49:17.754587 INFO  [PATH] event start
2026-01-28 12:49:17.754936 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:49:31.452824 INFO  Main start
2026-01-28 12:49:32.775690 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:49:42.070491 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:50:13.460455 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:50:43.462038 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:50:46.462232 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:51:19.463989 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:51:46.465428 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:51:52.465817 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:52:25.467552 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:52:49.468828 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:52:58.469334 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:53:31.471102 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:53:52.472199 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:54:04.472870 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:54:37.474608 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:54:55.475589 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:55:10.476434 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:55:43.478169 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:55:58.478986 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:56:16.479980 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:56:49.481746 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:57:01.482416 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:57:22.483538 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:57:55.485314 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:58:04.485829 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:58:28.487089 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:59:01.488831 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:59:07.489182 INFO  [PATH] event start RECOMPUTE4
2026-01-28 12:59:34.490607 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:00:07.492391 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:00:10.492586 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:00:40.494183 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:01:13.495931 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:01:13.501398 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:01:46.497768 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:01:56.286956 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:02:12.905875 INFO  Main start
2026-01-28 13:02:14.244474 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:02:30.431405 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:03:00.913801 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:03:30.915345 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:03:33.915542 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:04:06.917276 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:04:33.918789 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:04:39.919051 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:05:12.920788 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:05:36.922040 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:05:45.922538 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:06:18.924279 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:06:39.925407 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:06:51.926083 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:07:24.927865 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:07:42.928890 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:07:57.929765 INFO  [PATH] event start RECOMPUTE4
